City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Imbituba,-28.24,-48.6703,73.4,73,0,11.5,BR,1611028124
Senneterre,48.3835,-77.2328,6.8,85,90,3.44,CA,1611028124
Mahébourg,-20.4081,57.7,78.8,94,40,10.36,MU,1611027973
Ilulissat,69.2167,-51.1,6.8,61,27,2.3,GL,1611028124
Mamit,23.9333,92.4833,66.2,68,20,3.44,IN,1611028124
Severo-Yeniseyskiy,60.3725,93.0408,-8.73,91,100,9.66,RU,1611028124
Ithaca,42.4406,-76.4966,30.99,86,90,3.44,US,1611028124
Port Alfred,-33.5906,26.891,66.0,91,0,1.01,ZA,1611028125
Coxim,-18.5067,-54.76,72.72,95,100,2.66,BR,1611028125
Tilichiki,60.4667,166.1,-24.74,84,81,14.63,RU,1611028125
Jamestown,42.097,-79.2353,28.99,93,90,12.66,US,1611028125
Koshurnikovo,54.1667,93.3,13.06,97,100,3.04,RU,1611028125
Asău,46.4333,26.4,1.99,85,40,1.14,RO,1611028125
Marzuq,14.4,46.4667,55.62,34,0,1.72,YE,1611028125
Esperance,-33.8667,121.9,87.8,29,4,13.8,AU,1611028125
Hobart,-42.8794,147.3294,66.99,36,0,17.27,AU,1611028045
Kahului,20.8947,-156.47,71.6,83,90,24.16,US,1611028125
Dawei,14.0833,98.2,82.53,33,39,7.45,MM,1611028125
Faanui,-16.4833,-151.75,81.1,74,3,15.77,PF,1611028125
Puerto Ayora,-0.7393,-90.3518,73.99,97,99,5.99,EC,1611028049
Hasaki,35.7333,140.8333,46.4,27,20,23.02,JP,1611028126
Cidreira,-30.1811,-50.2056,68.85,71,12,5.46,BR,1611028126
Fort Morgan,40.2503,-103.8,24.8,74,1,13.8,US,1611028126
Westport,41.1415,-73.3579,35.01,62,9,11.92,US,1611028108
Little Current,45.9793,-81.9248,19.99,73,93,10.36,CA,1611028126
Tuatapere,-46.1333,167.6833,60.01,54,60,21.0,NZ,1611028126
Tuktoyaktuk,69.4541,-133.0374,-5.8,77,20,9.22,CA,1611028126
Saint George,37.1041,-113.5841,48.2,27,1,12.66,US,1611027899
Semey,50.4111,80.2275,6.8,92,75,4.47,KZ,1611028126
Katangli,51.7102,143.2326,-6.59,85,1,12.62,RU,1611028126
Mitsamiouli,-11.3847,43.2844,82.51,78,99,12.68,KM,1611028126
Lebu,-37.6167,-73.65,58.19,88,0,17.52,CL,1611028126
Talnakh,69.4865,88.3972,-23.44,86,52,4.9,RU,1611028126
Moerai,-22.4333,-151.3333,81.0,74,95,8.48,PF,1611028126
Khatanga,71.9667,102.5,-35.57,81,0,12.08,RU,1611028126
Tatvan,38.5067,42.2817,26.85,96,100,5.75,TR,1611028127
Santa Vitória,-18.8386,-50.1214,71.96,91,100,3.78,BR,1611028127
Cimarron Hills,38.8586,-104.6989,28.4,50,90,11.5,US,1611028127
Praia da Vitória,38.7333,-27.0667,62.6,88,75,32.91,PT,1611028127
Batemans Bay,-35.7167,150.1833,75.99,55,8,7.0,AU,1611028127
Kaitangata,-46.2817,169.8464,60.94,42,75,11.79,NZ,1611028127
Manta,-0.95,-80.7333,78.8,78,75,4.61,EC,1611028127
Banda Aceh,5.5577,95.3222,83.3,66,41,8.52,ID,1611028127
Moyale,3.5167,39.0584,67.82,34,0,9.64,KE,1611028101
Vao,-22.6667,167.4833,78.15,89,93,12.19,NC,1611028127
Coyhaique,-45.5752,-72.0662,55.4,94,75,2.3,CL,1611028127
Kapaa,22.0752,-159.319,69.8,73,90,20.71,US,1611028127
Assiniboia,49.6334,-105.9845,28.4,86,100,25.32,CA,1611028127
Boquira,-12.8231,-42.7306,70.21,71,11,6.29,BR,1611028127
Atuona,-9.8,-139.0333,78.46,77,7,17.74,PF,1611028128
Dali,25.7,100.1833,51.8,63,56,7.78,CN,1611028128
Cape Town,-33.9258,18.4232,66.99,84,4,1.99,ZA,1611028061
Camacha,33.0833,-16.3333,57.2,77,0,5.99,PT,1611028128
Hilo,19.7297,-155.09,71.6,83,90,4.61,US,1611027833
Pedasí,7.5333,-80.0333,78.82,77,0,21.32,PA,1611028128
Bakchar,57.0186,82.0711,-10.77,89,96,7.52,RU,1611028128
Tasiilaq,65.6145,-37.6368,21.2,42,14,1.14,GL,1611028128
Touros,-5.1989,-35.4608,78.8,78,40,9.22,BR,1611028128
Fuxin,42.0156,121.6589,9.07,75,0,10.83,CN,1611028128
Cabo San Lucas,22.8909,-109.9124,68.0,37,90,3.44,MX,1611028128
Slave Lake,55.2834,-114.769,30.2,64,1,10.36,CA,1611027926
Kolokani,13.5728,-8.0339,62.69,26,0,10.92,ML,1611028128
The Pas,53.8251,-101.2541,-7.6,84,40,2.3,CA,1611028128
Carballo,43.213,-8.691,46.0,85,3,3.0,ES,1611028128
Chui,-33.6971,-53.4616,60.12,77,0,3.96,UY,1611028129
Sinnamary,5.3833,-52.95,77.45,82,94,12.84,GF,1611028129
Olafsvik,64.8945,-23.7142,30.07,91,18,15.05,IS,1611028129
Praia,14.9215,-23.5087,71.6,78,100,20.71,CV,1611028129
Norman Wells,65.282,-126.8329,3.2,85,75,11.5,CA,1611028129
Shimanovsk,52.0,127.7,-12.87,78,0,2.84,RU,1611028129
Yulara,-25.2406,130.9889,93.2,13,0,13.8,AU,1611028129
Kokopo,-4.352,152.2633,85.75,61,37,5.77,PG,1611028129
Gijang,35.2442,129.2139,35.6,20,0,9.22,KR,1611028129
Emba,48.8264,58.1442,9.63,93,99,10.25,KZ,1611028129
Puri,19.8,85.85,69.8,78,5,3.44,IN,1611028129
Ezhou,30.4,114.8333,53.82,42,0,14.76,CN,1611028129
Khovd,48.0056,91.6419,9.84,69,52,1.3,MN,1611028130
Río Gallegos,-51.6226,-69.2181,55.4,54,40,4.61,AR,1611027940
Korla,41.7597,86.1469,23.09,77,100,2.53,CN,1611028130
Luanda,-8.8368,13.2343,75.2,83,40,4.61,AO,1611028130
Nizwá,22.9333,57.5333,68.68,27,0,4.05,OM,1611027967
Saint Anthony,45.0205,-93.218,21.2,86,90,5.75,US,1611028130
Trindade,-16.6494,-49.4889,71.6,94,40,1.74,BR,1611028130
Torbay,47.6666,-52.7314,39.0,87,90,16.11,CA,1611028130
Morón,-34.6534,-58.6198,75.0,55,0,8.55,AR,1611028130
San Alberto,7.7611,-73.3922,77.2,59,0,3.18,CO,1611028130
Saskylakh,71.9167,114.0833,-38.07,81,100,2.44,RU,1611028130
Kruisfontein,-34.0033,24.7314,63.07,94,0,8.57,ZA,1611028131
Dikson,73.5069,80.5464,-20.65,85,16,22.32,RU,1611028131
Bermejo,-32.8833,-68.8,78.8,25,20,5.75,AR,1611028131
Lüderitz,-26.6481,15.1594,64.67,81,35,13.98,NA,1611028131
Yamada,39.4667,141.95,29.98,84,12,23.89,JP,1611028131
Kangaba,11.9333,-8.4167,67.33,22,4,6.98,ML,1611028131
Oruzgan,32.8333,66.0,41.41,60,0,8.01,AF,1611028131
Goderich,43.7501,-81.7165,30.2,86,100,3.44,CA,1611027902
Nishihara,26.1842,127.7558,66.2,42,75,11.5,JP,1611028131
Puerto Quijarro,-17.7833,-57.7667,63.68,92,100,2.66,BO,1611028131
Abū Zabad,12.35,29.25,62.87,28,0,18.19,SD,1611028131
Itabira,-19.6192,-43.2269,59.43,93,0,0.65,BR,1611028131
Oussouye,12.485,-16.5469,68.0,56,0,6.91,SN,1611028131
Olinda,-8.0089,-34.8553,75.2,83,40,9.22,BR,1611028131
Varkala,8.7341,76.7067,84.2,58,20,3.44,IN,1611028131
Turukhansk,65.8167,87.9833,-15.7,87,100,9.04,RU,1611028131
Upernavik,72.7868,-56.1549,7.23,77,42,7.7,GL,1611028132
Yellowknife,62.456,-114.3525,-0.4,85,90,13.8,CA,1611028116
Klaksvík,62.2266,-6.589,35.6,87,7,2.3,FO,1611028132
Beihai,21.4833,109.1,63.7,51,20,8.9,CN,1611028132
Banjar,-8.19,114.9675,84.2,79,40,2.3,ID,1611028132
Waipawa,-41.4122,175.5153,68.0,73,75,36.82,NZ,1611028132
Qasigiannguit,68.8193,-51.1922,6.8,61,27,2.3,GL,1611028132
Guiratinga,-16.3494,-53.7583,70.84,95,100,1.79,BR,1611028132
Longyearbyen,78.2186,15.6401,17.6,67,20,27.63,SJ,1611028132
Kysyl-Syr,63.8986,122.7617,-49.0,75,55,6.82,RU,1611028132
Antalaha,-14.9003,50.2788,74.34,85,100,11.27,MG,1611028132
Atar,20.5169,-13.0499,59.11,28,100,17.18,MR,1611027977
Gornopravdinsk,60.05,69.9,-25.13,85,5,5.46,RU,1611028132
Kurumkan,54.3,110.3,-6.18,86,100,0.49,RU,1611028132
Davila,18.4726,120.5763,87.8,48,20,12.66,PH,1611028133
Moindou,-21.6924,165.677,82.4,89,90,8.05,NC,1611028133
Areosa,41.7178,-8.8571,46.99,81,0,11.5,PT,1611028133
Misratah,32.3754,15.0925,56.37,64,14,13.4,LY,1611028133
Pisco,-13.7,-76.2167,68.0,88,0,8.05,PE,1611028133
Mehamn,71.0357,27.8492,28.4,64,75,13.8,NO,1611028133
Beitbridge,-22.2167,30.0,68.36,78,100,11.95,ZW,1611028133
Nagua,19.3832,-69.8474,71.01,92,100,4.72,DO,1611028133
Dukat,62.55,155.55,-39.77,80,100,5.66,RU,1611028133
Itoman,26.1247,127.6694,66.2,48,75,16.11,JP,1611028133
Bor,56.3567,44.0669,-9.0,84,0,1.68,RU,1611028133
Shellbrook,53.2168,-106.4011,17.6,79,90,11.5,CA,1611028133
Nova Olímpia,-14.7972,-57.2881,68.65,95,100,1.23,BR,1611028133
Avarua,-21.2078,-159.775,82.4,78,96,6.91,CK,1611028133
Muzhi,65.3667,64.6667,-20.79,82,84,4.5,RU,1611028134
Bengkulu,-3.8004,102.2655,84.76,59,62,3.8,ID,1611028134
Churapcha,62.0025,132.4325,-46.14,74,100,1.7,RU,1611028134
Sisimiut,66.9395,-53.6735,21.49,85,32,11.43,GL,1611028134
Visnes,59.3556,5.2242,37.99,93,90,12.66,NO,1611028134
Boyolangu,-8.1181,111.8935,83.91,70,96,5.17,ID,1611028134
Codrington,-38.2667,141.9667,61.34,56,0,15.93,AU,1611028134
Mount Gambier,-37.8333,140.7667,69.8,40,0,18.41,AU,1611028134
Mogadishu,2.0371,45.3438,74.84,80,95,17.98,SO,1611028134
Urengoy,65.9667,78.3667,-19.7,87,93,6.82,RU,1611028134
Port Elizabeth,-33.918,25.5701,62.6,100,0,2.71,ZA,1611028134
Alofi,-19.0595,-169.9187,87.8,66,75,8.05,NU,1611028134
Ivaiporã,-24.2478,-51.6847,67.59,100,100,4.65,BR,1611028134
Port Augusta,-32.5,137.7667,88.0,43,0,17.27,AU,1611028134
Gonaïves,19.45,-72.6833,73.0,81,100,7.05,HT,1611028135
Bonavista,48.6499,-53.1147,37.0,93,100,3.44,CA,1611028135
Altay,47.8667,88.1167,15.48,71,13,0.6,CN,1611028135
Comodoro Rivadavia,-45.8667,-67.5,62.6,82,0,6.91,AR,1611028135
College,64.8569,-147.8028,35.6,86,75,4.41,US,1611028135
Huilong,31.8111,121.655,53.01,44,0,5.99,CN,1611028135
Omsukchan,62.5333,155.8,-37.71,79,100,7.14,RU,1611028135
Carnarvon,-24.8667,113.6333,86.0,84,11,16.11,AU,1611028135
Maisach,48.2167,11.2667,27.0,86,20,8.05,DE,1611028135
Beringovskiy,63.05,179.3167,-20.33,86,98,12.39,RU,1611028135
Khudumelapye,-23.8833,24.75,67.66,79,91,10.78,BW,1611028135
El Cobre,20.0489,-75.9469,75.2,64,20,8.05,CU,1611028135
Teahupoo,-17.8333,-149.2667,86.0,62,40,5.75,PF,1611028135
Valdemārpils,57.3707,22.5919,23.0,100,75,4.61,LV,1611028135
Nyrob,60.733,56.7202,-19.1,87,84,2.64,RU,1611028135
Panjāb,34.388,67.0233,15.04,87,58,2.91,AF,1611028135
North Platte,41.1239,-100.7654,35.6,64,90,17.27,US,1611028136
Los Llanos de Aridane,28.6585,-17.9182,59.0,72,0,8.05,ES,1611028136
Ghanzi,-21.5667,21.7833,68.22,80,100,11.63,BW,1611028136
Cockburn Town,21.4612,-71.1419,78.58,81,100,14.41,TC,1611028029
Scarborough,54.2797,-0.4044,44.01,94,100,3.0,GB,1611028136
Berlevåg,70.8578,29.0864,28.4,64,75,13.8,NO,1611028136
Ola,59.5833,151.2833,-6.34,81,100,16.08,RU,1611028136
Huarmey,-10.0681,-78.1522,70.5,82,100,6.98,PE,1611028136
Srednekolymsk,67.45,153.6833,-42.93,80,41,4.29,RU,1611028136
Rosarito,32.3333,-117.0333,55.4,94,1,6.91,MX,1611028136
Guerrero Negro,27.9769,-114.0611,59.76,77,0,0.58,MX,1611028136
Nome,64.5011,-165.4064,10.0,78,90,6.91,US,1611028136
Broken Hill,-31.95,141.4333,80.6,24,0,17.27,AU,1611028137
Hithadhoo,-0.6,73.0833,80.42,68,0,7.27,MV,1611028137
Chernihiv,51.0,32.0,5.31,92,100,6.15,UA,1611028137
Yatou,37.15,122.3833,31.69,87,0,8.75,CN,1611028137
Buluang,13.3068,123.3425,76.21,89,100,3.85,PH,1611028137
Severo-Kuril'sk,50.6789,156.125,19.33,86,89,26.64,RU,1611028137
Vostok,46.4856,135.8833,-12.69,82,99,6.62,RU,1611028137
Sompeta,18.9333,84.6,76.03,53,0,3.58,IN,1611028137
Lumphat,13.4878,106.9816,80.06,39,78,5.95,KH,1611028045
Promyshlennovskiy,55.4833,86.2,-2.2,78,20,11.18,RU,1611028137
Den Helder,52.9599,4.7593,43.0,93,75,25.32,NL,1611028137
Saint-Philippe,-21.3585,55.7679,84.2,58,0,8.05,RE,1611028137
Qaqortoq,60.7167,-46.0333,15.8,62,100,4.61,GL,1611028138
Roald,62.5833,6.1333,39.2,60,20,12.66,NO,1611028138
Katobu,-4.9408,122.5276,79.65,86,100,9.66,ID,1611028138
Airai,-8.9266,125.4092,65.12,100,100,2.06,TL,1611028138
Ojinaga,29.5667,-104.4167,57.2,19,1,9.22,MX,1611028138
Loralai,30.3705,68.598,48.25,44,0,0.4,PK,1611028138
Port Blair,11.6667,92.75,82.29,68,23,15.93,IN,1611028138
Ipameri,-17.7219,-48.1597,67.08,92,100,4.94,BR,1611028138
Yumen,40.2833,97.2,21.83,76,1,21.43,CN,1611028138
Shuiji,27.4214,118.345,60.01,34,0,1.74,CN,1611028138
Mayumba,-3.432,10.6554,77.23,83,100,4.7,GA,1611028138
Spruce Grove,53.5334,-113.9187,32.0,64,1,8.05,CA,1611028138
Henties Bay,-22.116,14.2845,64.99,88,3,2.86,NA,1611028138
Evensk,61.95,159.2333,-11.13,78,47,11.72,RU,1611028139
Point Pedro,9.8167,80.2333,78.35,73,82,14.34,LK,1611028139
Saucillo,28.0167,-105.2833,64.67,25,0,13.15,MX,1611028139
Lorca,37.6712,-1.7017,46.99,83,0,5.01,ES,1611028049
Kununurra,-15.7667,128.7333,91.4,49,75,8.05,AU,1611028034
Shelburne,44.0787,-80.2041,26.01,94,100,3.74,CA,1611028139
Iqaluit,63.7506,-68.5145,23.0,80,90,13.8,CA,1611028139
Batabanó,22.7164,-82.2881,64.4,88,90,3.44,CU,1611028139
Lykhivka,48.6874,33.9228,6.37,94,100,7.02,UA,1611028139
Lhokseumawe,5.1801,97.1507,83.08,69,66,5.64,ID,1611027985
Mangalore,12.8667,74.8833,78.8,73,0,5.75,IN,1611028139
Krasnyy Chikoy,50.3643,108.7512,12.56,91,100,2.48,RU,1611028139
Suleja,9.1758,7.1808,75.16,19,59,9.95,NG,1611028139
Lagoa,39.05,-27.9833,61.05,79,100,33.98,PT,1611028139
Puerto Carreño,6.189,-67.4859,78.53,64,65,8.99,CO,1611028139
Husavik,66.0449,-17.3389,32.0,86,75,19.57,IS,1611028139
Rocha,-34.4833,-54.3333,57.65,77,0,6.35,UY,1611028139
Capiíbary,-24.8,-56.0333,64.62,83,0,3.11,PY,1611028140
Solhan,38.9634,41.0293,23.94,94,100,2.77,TR,1611028140
Arkhara,49.4212,130.0842,-15.99,82,0,1.1,RU,1611028140
The Valley,18.217,-63.0578,79.0,78,20,12.66,AI,1611028009
Gilbués,-9.8317,-45.3439,73.44,61,51,1.21,BR,1611028140
Dryden,49.7833,-92.7503,-2.2,78,90,4.61,CA,1611028080
Puerto Escondido,15.85,-97.0667,77.0,78,1,3.47,MX,1611028140
Acapulco de Juárez,16.8634,-99.8901,77.0,88,20,3.4,MX,1611028065
Vila Franca do Campo,37.7167,-25.4333,61.0,88,75,23.02,PT,1611028140
Calama,-22.4667,-68.9333,57.2,19,20,4.61,CL,1611028140
Prince George,53.9166,-122.753,28.0,100,1,2.39,CA,1611027953
Poum,-20.2333,164.0167,82.51,78,100,5.14,NC,1611028140
Tārāpur,19.85,72.7,77.52,46,0,8.7,IN,1611028140
Saldanha,-33.0117,17.9442,62.6,88,0,5.75,ZA,1611028140
Carutapera,-1.195,-46.02,79.03,79,100,6.33,BR,1611028140
Burnie,-41.0667,145.9167,64.44,37,42,9.13,AU,1611028141
Borovskiy,57.041,65.7202,-7.6,84,0,6.71,RU,1611028141
San Jerónimo,-11.9472,-75.2829,49.91,75,100,2.13,PE,1611028141
Ubari,26.5921,12.7805,40.93,66,0,4.27,LY,1611028141
Panama City,8.9936,-79.5197,77.0,83,90,5.75,PA,1611028050
Gravelbourg,49.8834,-106.5512,28.4,86,100,25.32,CA,1611028141
Novyy Urgal,51.0736,132.5642,-15.07,78,20,1.92,RU,1611028141
Kiunga,-6.1219,141.2906,92.73,49,79,3.74,PG,1611028141
Nemuro,43.3236,145.575,23.0,63,75,12.66,JP,1611027914
East London,-33.0153,27.9116,68.0,83,0,13.8,ZA,1611028141
Diego de Almagro,-26.3667,-70.05,58.69,46,0,2.48,CL,1611028141
Medeiros Neto,-17.3739,-40.2206,69.73,93,3,5.86,BR,1611028141
Severnoye,56.3491,78.3619,-13.99,89,60,9.46,RU,1611028142
Heraclea,37.5133,34.0467,25.68,88,86,2.24,TR,1611028142
Verkhoyansk,67.5447,133.385,-36.13,79,100,1.79,RU,1611028142
Cherskiy,68.75,161.3,-41.6,80,65,5.61,RU,1611028142
Iquitos,-3.7481,-73.2472,75.2,94,75,1.14,PE,1611027971
Mpongwe,-13.5091,28.155,64.78,98,100,4.21,ZM,1611028142
Pryazha,61.6926,33.6216,23.0,93,100,4.47,RU,1611028142
Juneau,58.3019,-134.4197,41.0,81,90,36.82,US,1611028142
Nouakchott,18.0858,-15.9785,62.6,15,100,10.36,MR,1611028142
Salinópolis,-0.6136,-47.3561,78.64,84,99,10.45,BR,1611028142
Chokurdakh,70.6333,147.9167,-34.44,84,3,4.21,RU,1611028142
Severnyy,50.677,36.5532,6.8,85,90,4.47,RU,1611028142
Sharjah city,25.3573,55.4033,62.6,100,90,3.44,AE,1611027877
San Quintín,30.4833,-115.95,61.74,75,78,13.78,MX,1611028143
Baykit,61.67,96.37,-19.01,82,100,2.89,RU,1611028143
Paracuru,-3.41,-39.0306,81.0,74,100,20.0,BR,1611027857
Cabedelo,-6.9811,-34.8339,77.0,88,75,3.44,BR,1611028143
Anori,-3.7728,-61.6442,74.5,96,100,1.43,BR,1611028143
Bhainsdehi,21.6467,77.6325,74.71,39,25,4.23,IN,1611028143
Kahama,-3.8333,32.6,63.72,89,96,2.19,TZ,1611028143
Palauig,15.435,119.9045,84.49,58,52,4.12,PH,1611028143
Flin Flon,54.7682,-101.865,-1.82,92,91,5.35,CA,1611028143
Fes,34.0372,-4.9998,42.8,70,0,6.91,MA,1611028063
Iberia,29.9502,-91.7507,51.8,76,1,6.91,US,1611028143
Port Pirie,-33.1833,138.0167,73.4,43,0,17.27,AU,1611028143
Vaitape,-16.5167,-151.75,81.1,74,2,15.84,PF,1611028143
Bubaque,11.2833,-15.8333,77.74,61,0,11.39,GW,1611028144
Luoyang,34.6836,112.4536,41.0,99,0,11.74,CN,1611028144
Abu Samrah,35.3029,37.1841,44.65,94,100,11.9,SY,1611028144
Rongcheng,30.634,117.8517,55.78,36,0,1.83,CN,1611028144
Greensburg,40.3015,-79.5389,30.2,74,90,10.36,US,1611027908
Mongo,12.1844,18.693,63.01,27,48,7.05,TD,1611028144
Garoua,9.3,13.4,66.42,25,1,3.27,CM,1611028144
Beauchamps,50.012,1.5176,43.0,84,100,26.06,FR,1611028144
Santa Cruz del Sur,20.7147,-77.9956,72.18,86,61,16.17,CU,1611028144
Øksfjord,70.2396,22.3479,30.2,93,56,5.75,NO,1611028144
Anadyr,64.75,177.4833,-27.0,75,0,8.95,RU,1611028144
Donegal,54.65,-8.1167,42.73,90,100,1.83,IE,1611028144
Samarai,-10.6167,150.6667,87.4,69,94,11.48,PG,1611028144
Dinājpur,25.6272,88.6386,71.76,44,0,3.42,BD,1611027903
Riachão das Neves,-11.7461,-44.91,70.52,69,0,1.92,BR,1611028144
Ilhéus,-14.7889,-39.0494,73.4,100,20,4.61,BR,1611027982
Narsaq,60.9167,-46.05,15.8,62,100,4.61,GL,1611028144
Kimbe,-5.5502,150.1429,87.06,69,61,5.48,PG,1611028145
Mlonggo,-6.5333,110.7,77.0,94,75,5.75,ID,1611028145
Grindavik,63.8424,-22.4338,30.2,86,40,24.16,IS,1611028145
Nouadhibou,20.931,-17.0347,62.6,36,0,19.57,MR,1611028145
Port Hawkesbury,45.6169,-61.3485,34.0,75,90,9.22,CA,1611028145
Kudahuvadhoo,2.6708,72.8944,81.79,68,47,7.47,MV,1611028145
Jalu,29.0331,21.5482,49.05,52,0,11.01,LY,1611028145
Tomatlán,19.9333,-105.25,65.44,84,33,2.86,MX,1611028145
Forte dei Marmi,43.9648,10.1724,39.0,99,45,1.01,IT,1611028145
Nantucket,41.2835,-70.0995,37.4,70,1,9.22,US,1611028145
Ketchikan,55.3422,-131.6461,44.6,87,90,20.71,US,1611028145
Kunshan,31.3776,120.9543,52.0,50,0,15.66,CN,1611028146
Taoudenni,22.6783,-3.9836,52.86,39,86,12.77,ML,1611028146
Adrar,20.5022,-10.0711,55.4,33,100,13.31,MR,1611028146
